x,y,z,r,g,b
-1.000000,0.548872,0.698039,172,183,167
-1.000000,0.556391,0.717647,177,188,171
-1.000000,0.563910,0.560784,137,147,135
-1.000000,0.571429,0.301961,71,80,77
-0.995000,0.563910,0.360784,86,97,86
-0.992500,0.548872,0.729411,180,190,178
-0.992500,0.556391,0.578431,141,152,140
-0.990000,0.541353,0.725490,179,189,177
-0.990000,0.827068,0.423529,127,107,63
-0.990000,0.834586,0.333333,108,83,33
-0.985000,0.533835,0.729412,180,191,176
-0.985000,0.541353,0.721569,178,189,178
-0.985000,0.548872,0.635294,156,166,159
-0.985000,0.781955,0.317647,101,81,28
-0.985000,0.789474,0.352941,109,90,37
-0.985000,0.827068,0.580392,171,146,95
-0.985000,0.834586,0.603922,184,150,96
-0.985000,0.849624,0.313725,99,77,48
-0.980000,0.548872,0.419608,101,110,106
-0.980000,0.819549,0.317647,100,81,34
-0.980000,0.827068,0.431373,135,107,56
-0.980000,0.834586,0.490196,158,119,68
-0.980000,0.842105,0.509804,159,128,68
-0.980000,0.849624,0.341176,107,87,36
-0.977500,0.533835,0.715687,176,187,172
-0.977500,0.541353,0.633333,155,165,156
-0.977500,0.781955,0.425490,134,105,54
-0.977500,0.789474,0.364706,115,92,37
-0.975000,0.526316,0.725490,178,190,175
-0.970000,0.526316,0.709804,174,186,172
-0.970000,0.533835,0.701961,173,183,171
-0.970000,0.541353,0.372549,89,99,90
-0.970000,0.774436,0.423529,133,104,61
-0.970000,0.781955,0.650980,202,160,101
-0.970000,0.789474,0.564706,176,141,77
-0.970000,0.827068,0.313725,101,78,34
-0.965000,0.518797,0.733333,179,193,179
-0.965000,0.526316,0.721569,178,189,177
-0.965000,0.533835,0.525490,128,138,129
-0.965000,0.766917,0.345098,96,88,65
-0.965000,0.774436,0.580392,176,143,97
-0.965000,0.781955,0.643137,206,157,92
-0.965000,0.789474,0.631373,198,157,87
-0.965000,0.796992,0.333333,113,84,18
-0.965000,0.842105,0.301961,89,84,10
-0.960000,0.533835,0.317647,75,84,78
-0.960000,0.766917,0.321569,89,82,65
-0.957500,0.518797,0.719607,175,189,176
-0.957500,0.526316,0.568627,138,149,140
-0.957500,0.774436,0.513726,157,127,83
-0.957500,0.781955,0.621569,199,152,83
-0.957500,0.789474,0.472549,160,115,46
-0.957500,0.796992,0.450980,145,111,51
-0.957500,0.827068,0.452941,144,110,65
-0.957500,0.834586,0.390196,120,101,35
-0.957500,0.842105,0.333333,99,92,13
-0.955000,0.511278,0.733333,179,193,180
-0.950000,0.511278,0.741176,182,194,183
-0.950000,0.518797,0.650980,160,170,161
-0.950000,0.526316,0.317647,75,84,78
-0.950000,0.774436,0.509804,156,125,85
-0.950000,0.781955,0.670588,210,164,101
-0.950000,0.789474,0.701961,219,173,104
-0.950000,0.796992,0.490196,159,121,54
-0.950000,0.827068,0.305882,100,76,30
-0.945000,0.518797,0.474510,117,124,117
-0.945000,0.774436,0.498039,142,125,99
-0.945000,0.781955,0.631373,186,157,114
-0.945000,0.789474,0.560784,168,142,85
-0.945000,0.796992,0.325490,102,85,21
-0.942500,0.503759,0.733333,179,191,183
-0.942500,0.511278,0.682353,167,178,170
-0.940000,0.812030,0.360784,110,92,41
-0.940000,0.819549,0.474510,144,118,77
-0.940000,0.827068,0.352941,109,88,51
-0.935000,0.496241,0.733333,178,192,183
-0.935000,0.503759,0.745098,183,194,186
-0.935000,0.511278,0.509804,123,134,126
-0.935000,0.804511,0.337255,99,89,34
-0.935000,0.812030,0.623529,180,158,110
