n0,n1,n2
10,8,3475
169,15,62
4636,1167,305
755,978,1475
462,26,28
6,32,1768
507,5,260
122,36,8
1293,7,0
10,280,4513
5387,0,9
3589,35,37
251,39,241
14,3474,3467
3468,272,13
164,16,1
125,38,15
396,-1,403
784,-1,437
199,20,-1
88,1219,19
1927,208,86
23,58,-1
22,5642,3492
101,1229,31
49,-1,98
4261,818,4
3819,29,3567
460,4,29
51,28,27
52,106,1240
5319,24,32
3835,31,5
34,3847,-1
3851,33,60
4347,61,11
3591,37,7
3593,11,36
39,3870,16
3868,38,12
68,300,925
-1,619,302
1092,44,43
1102,42,4973
351,159,42
46,-1,428
787,1926,45
96,105,515
49,811,53
1233,48,25
214,488,1241
3480,29,108
1266,30,107
494,48,808
55,3560,513
54,3580,3558
6857,119,118
6862,453,120
59,3486,22
3489,58,3493
3845,34,61
4345,60,35
172,1,259
64,4363,556
63,142,5371
1355,1354,-1
587,3613,285
288,1449,137
1398,290,40
2434,301,273
3638,153,4693
634,-1,313
73,329,308
72,631,328
383,81,158
680,335,-1
6466,370,168
716,173,4122
3216,382,729
3696,3707,739
182,81,388
80,392,74
409,730,184
5117,84,1527
5118,85,83
186,157,84
87,21,427
86,187,11241
196,89,20
90,204,88
89,91,3541
3498,3532,90
198,3497,203
4216,435,3545
3500,438,95
3739,94,206
210,448,47
5205,99,473
4248,25,99
5207,98,97
101,189,502
1228,24,100
103,3585,104
102,474,3506
219,102,105
106,104,47
476,105,30
221,52,222
3563,51,3818
4307,479,3808
111,4325,-1
4327,110,113
495,505,3830
3575,111,114
3504,113,3823
3824,3573,229
864,235,5249
11293,118,262
9039,56,117
5195,120,56
6861,57,119
3603,-1,3846
5393,3590,7
124,3510,130
123,527,523
-1,525,16
248,3594,127
128,126,246
127,2389,1321
130,534,4385
129,123,131
873,130,3509
252,540,3869
5587,135,-1
138,245,135
3895,134,133
137,913,298
136,67,138
559,137,134
4477,921,1346
141,1352,5362
7061,143,140
143,9155,64
9157,142,141
275,3924,145
4540,144,277
279,147,287
146,584,271
289,3938,1447
150,443,292
149,600,293
593,606,3941
3711,3961,1166
309,312,70
3639,3516,311
3648,697,656
5921,644,1476
4065,3521,85
778,74,758
343,160,44
159,1106,4972
1565,3495,162
3679,161,3524
416,175,362
165,15,3689
3693,167,164
3691,4135,2543
5013,364,165
8489,76,366
6491,170,1
8495,365,169
6497,1596,373
375,374,62
724,174,77
175,713,173
174,2930,163
836,3526,2659
3530,178,-1
3699,3704,177
741,384,340
742,744,385
3697,1141,3703
3708,80,5074
405,753,756
771,82,1723
421,420,406
5105,85,424
6819,5169,87
5159,1212,4193
190,431,100
189,860,191
192,190,440
191,442,1744
3543,503,194
3539,193,3743
196,432,3499
195,88,197
3745,196,3751
3749,92,3541
3750,19,200
3753,199,4324
4207,794,3543
2302,429,3550
204,92,439
203,3545,89
3548,206,3497
3741,95,205
9443,441,231
3771,3733,21
210,805,446
209,96,211
451,210,212
3781,211,3841
5203,1128,455
2323,215,50
2731,461,214
829,475,217
477,216,236
219,4281,3793
218,3790,104
221,3799,9103
220,848,107
3798,107,5295
224,3502,3811
223,3809,838
227,3569,3482
227,4306,3813
226,225,480
229,4319,797
228,115,3571
4253,809,4257
264,207,2746
265,2409,4443
234,3837,3583
233,3581,510
865,236,116
512,217,235
238,866,414
511,237,508
4348,240,518
3588,869,239
242,12,3860
4383,5505,241
885,520,244
9235,243,7077
11547,246,134
9285,127,245
248,892,3597
7211,247,126
536,533,1330
874,5446,1329
5504,252,12
7293,132,251
541,537,254
901,253,538
545,902,542
4428,2395,257
258,256,1885
257,544,1584
3877,62,3871
5333,6,261
5337,260,263
263,117,3599
5335,261,262
265,1337,231
264,232,549
