i0,i1,i2
7,70,3
3257,3559,2768
7966,7936,8276
7456,7936,7796
2259,2224,3597
2856,2351,2773
2741,2351,2856
21,8,3
70,21,3
88,7,107
88,70,7
10,11,3
2499,2705,2481
20,7,6
20,36,7
3559,4556,2768
4556,2481,2768
8152,7843,8412
1071,1037,1102
1410,1384,1102
1384,1171,1102
881,942,927
32,17,0
17,32,33
2288,2710,2773
1926,1479,2006
2224,2208,3597
3598,3579,3597
3535,2259,3597
3579,3535,3597
3425,3336,2610
2317,2288,2773
2351,2317,2773
3,15,16
14,15,3
11,12,3
8,9,3
9,10,3
2481,2736,2768
2705,2736,2481
429,803,515
8417,8418,8398
6503,6298,6537
6538,6503,6537
6298,6329,6537
991,32,1037
991,942,32
3162,2610,3202
1479,1836,1762
1926,1836,1479
2500,3535,3425
3560,3535,3579
3371,3336,3425
1706,1479,1762
3239,3261,3281
3261,3239,3238
2907,2925,2857
2947,2957,2857
17,4,0
18,4,17
13,14,3
12,13,3
2799,3257,2768
312,218,231
218,312,175
31,319,341
393,305,292
958,1143,1183
429,514,803
520,682,588
8390,8411,8391
8383,8423,8424
7753,7675,7796
7675,7753,7727
7335,7752,7848
5631,5887,6504
3354,3442,3559
3858,3541,3857
5315,5179,5668
7739,7751,7752
7795,7821,7752
7752,7821,7848
6384,6459,5668
6935,6961,7011
6961,6984,7011
6984,7040,7011
912,881,927
881,912,897
1384,1348,1171
1348,1319,1171
1319,1348,1334
1348,1349,1334
1319,1304,1288
1172,1158,1171
1248,1227,1288
1261,1248,1288
3162,2678,2610
1986,1966,2006
1945,1926,2006
1966,1945,2006
2660,2288,1352
2660,2710,2288
3258,3218,3202
3218,3258,3236
3297,3258,3202
2610,3297,3202
3336,3297,2610
3409,3371,3425
3580,3560,3579
3619,3640,3620
1479,1423,1410
1440,1423,1479
1524,1706,1543
1458,1440,1479
1480,1458,1479
1443,1442,1460
3751,3756,3745
2856,2884,2857
2884,2907,2857
2925,2936,2857
2936,2947,2857
30,31,16
21,22,8
2311,1908,1907
1908,2311,2346
4556,1908,2481
1542,1760,1761
1226,1542,1761
1542,1226,1439
2311,2192,2310
2192,2311,1907
1906,2192,1907
2705,2497,2704
341,364,1761
382,1183,1761
364,382,1761
958,424,730
424,958,1183
382,424,1183
442,443,355
120,312,101
120,138,312
312,157,175
138,157,312
194,264,250
195,194,250
194,162,388
388,162,7
1143,990,1053
835,681,1208
681,835,631
1076,1208,1091
8306,8307,8276
8411,8361,8391
8411,8410,8429
7598,7599,7579
7607,7583,7456
7040,7041,7011
7408,7335,7848
6329,6598,6537
6537,6598,6571
